phase_data,a_data1,a_data2,a_data3,a_data4,a_data5,a_data6,a_data7,a_data8,a_data9,a_data10,a_data11,a_data12,a_data13,a_data14,a_data15
0.01183843903,0.012831,0.0059653,0.0057235,0.0048765,0.0043726,0.0033299,0.0029583,0.001467,0.00044587,0.0003492,0.0002818,0.00012388,9.1293e-05,5.5592e-05,8.1095e-05
0.01203067175,0.013015,0.0062595,0.0060946,0.0051541,0.004665,0.0037427,0.0032844,0.0017026,0.00052286,0.00046839,0.00035095,0.00017075,0.00011362,9.1402e-05,5.0805e-05
0.01221488708,0.013159,0.006527,0.006249,0.0055188,0.0049381,0.004107,0.0036351,0.002021,0.0006288,0.00055921,0.00040514,0.00017846,0.00016129,6.4742e-05,1.2623e-05
0.01239910241,0.013345,0.0067909,0.006475,0.0057029,0.0051715,0.0044709,0.0039968,0.0024103,0.00070609,0.00065762,0.00048068,0.00018085,0.00021402,9.3463e-05,3.6373e-05
0.01257851961,0.013541,0.0070897,0.0068203,0.0059875,0.0054425,0.0048078,0.0042803,0.0027486,0.00086874,0.00079436,0.00064203,0.00029041,0.00028314,0.00014969,3.2476e-05
0.01275793681,0.013734,0.0073496,0.0069668,0.0062706,0.0056465,0.0051481,0.0045336,0.0030259,0.0010613,0.00099408,0.00076656,0.0004341,0.00035515,0.00014541,7.0334e-05
0.01293094625,0.013941,0.0075613,0.0072788,0.0064518,0.0058199,0.0054466,0.0047917,0.0034115,0.0013107,0.0012822,0.0009519,0.00053022,0.00047169,0.00016985,9.842e-05
0.0131039557,0.014143,0.007778,0.0074171,0.0067391,0.0060517,0.005675,0.0050197,0.0037754,0.0016213,0.0016046,0.0011701,0.00067089,0.00060535,0.00025269,0.00013114
0.01327536577,0.014351,0.0080483,0.0076294,0.0069479,0.0062894,0.0059193,0.0053841,0.0041164,0.0019329,0.0019026,0.0014261,0.00087754,0.00073094,0.00025702,0.00014588
0.01344677583,0.014459,0.008218,0.007916,0.0071847,0.0065367,0.0061381,0.0056213,0.0044718,0.0023184,0.0022631,0.001763,0.0011017,0.00088078,0.00029498,0.0001802
0.01362138465,0.014662,0.008429,0.0080375,0.0073631,0.0067404,0.0063421,0.0058461,0.0048318,0.0027291,0.0027109,0.002095,0.0013428,0.0010381,0.00038515,0.00022141
0.01379599347,0.014862,0.0086243,0.0082565,0.0076109,0.0069833,0.0065416,0.0060945,0.0052337,0.0030799,0.0030961,0.0024379,0.0016237,0.001234,0.00047103,0.00029264
0.01397061255,0.015003,0.0088081,0.0084849,0.0077729,0.0072379,0.0067157,0.0063327,0.0055126,0.0034507,0.0034327,0.0027686,0.0019571,0.001479,0.00056674,0.00043323
0.01414523162,0.015206,0.0090333,0.0086715,0.0079231,0.0075005,0.0069022,0.0066111,0.005716,0.0038576,0.0038176,0.0031755,0.002288,0.0017765,0.00069063,0.00050476
0.01431663143,0.015339,0.0091631,0.0088885,0.0081697,0.0078096,0.0071159,0.006844,0.0059477,0.0042597,0.0041474,0.003589,0.0027475,0.0020632,0.00088596,0.00057083
0.01448803125,0.015476,0.0093686,0.0090598,0.008349,0.0080947,0.0073731,0.0071318,0.0062441,0.0046136,0.0044536,0.003947,0.003053,0.0024199,0.0010823,0.00075413
0.01465143418,0.015583,0.0095143,0.0092895,0.0085599,0.0083682,0.0076718,0.0073857,0.0064265,0.0049081,0.004776,0.0043105,0.0033769,0.0027154,0.0013025,0.0010062
0.01481483712,0.01572,0.0096293,0.0095061,0.0087403,0.0086598,0.0079231,0.0076595,0.0065585,0.0051893,0.0050724,0.004692,0.0037937,0.0030673,0.0015491,0.0011976
0.01564784555,0.015842,0.0098033,0.0096702,0.0089503,0.0089586,0.0081722,0.0080102,0.0068597,0.0054425,0.0053138,0.0049718,0.0041751,0.0034252,0.0018004,0.0013883
0.01576959294,0.015936,0.0099548,0.0098466,0.0091776,0.0092086,0.008468,0.0082428,0.0070877,0.0056861,0.0055769,0.005235,0.0043816,0.0037493,0.0020578,0.0015982
0.01589134032,0.01607,0.010088,0.010058,0.009343,0.0094766,0.0087007,0.0085235,0.0072951,0.0058932,0.0058042,0.0055294,0.0047546,0.004074,0.0023677,0.0017979
0.01600508058,0.016155,0.010252,0.010228,0.0095383,0.0097235,0.0089244,0.0087805,0.0075429,0.0061136,0.006049,0.0057795,0.0049695,0.0044688,0.0027233,0.0020271
0.01611882083,0.016273,0.010401,0.01032,0.0097717,0.0098661,0.009127,0.0089689,0.0077484,0.0064131,0.0063559,0.0060561,0.005231,0.0047788,0.0030283,0.0023141
0.01623255083,0.016383,0.010533,0.01049,0.0099291,0.0099793,0.0093659,0.0092113,0.007988,0.0066242,0.0066559,0.0062195,0.0055615,0.0050349,0.0033226,0.0025438
0.01634628083,0.016522,0.010704,0.010672,0.010115,0.010103,0.0095882,0.0093948,0.008274,0.00687,0.0069341,0.006433,0.0058399,0.0052758,0.0036272,0.0028354
0.01646002108,0.016625,0.010867,0.010781,0.010302,0.010204,0.00983,0.0096309,0.0085546,0.0071047,0.00723,0.0066475,0.0060515,0.0055727,0.0039142,0.0031292
0.01657376134,0.016709,0.011031,0.010967,0.010462,0.010341,0.010027,0.0097334,0.0088048,0.0073544,0.0075313,0.0069021,0.0063503,0.0058883,0.0042231,0.0034585
0.01668269321,0.01683,0.011189,0.011117,0.010653,0.010423,0.010193,0.009855,0.009078,0.0076484,0.007815,0.0071189,0.0065648,0.0061705,0.0045457,0.0037076
0.01679162508,0.016939,0.011398,0.011338,0.01084,0.010536,0.010374,0.0099633,0.0093023,0.0079172,0.0080079,0.0073039,0.0067871,0.0063725,0.0048295,0.003996
0.01690376596,0.017028,0.011569,0.011552,0.010982,0.010678,0.010498,0.010051,0.0094953,0.0081642,0.0082933,0.0075283,0.0069811,0.0066731,0.0051413,0.0043235
0.01701590683,0.017163,0.011773,0.011702,0.011191,0.010836,0.010629,0.010165,0.0095932,0.0084395,0.0085519,0.0078197,0.0071339,0.006936,0.0054803,0.004626
0.01712322908,0.017247,0.011968,0.011882,0.011349,0.011006,0.010793,0.010261,0.0096995,0.0086624,0.0088103,0.0080337,0.0073557,0.0071435,0.0057651,0.0050081
0.01723055132,0.01736,0.012183,0.012041,0.011525,0.01117,0.010931,0.010411,0.0099025,0.0088857,0.0089773,0.0083463,0.0075605,0.0073492,0.0060764,0.0053528
0.01733307543,0.017501,0.012401,0.012246,0.011675,0.011393,0.011104,0.010557,0.010073,0.0090154,0.0090513,0.0086043,0.0076801,0.00763,0.0063858,0.0057552
0.01743559955,0.017609,0.012567,0.012415,0.011857,0.011632,0.011254,0.010752,0.010146,0.0091448,0.0091752,0.0088964,0.0079132,0.0078772,0.0067199,0.0060059
0.01753492491,0.017721,0.012763,0.012572,0.012052,0.011856,0.011404,0.010965,0.010279,0.0092661,0.0093194,0.0090624,0.0080641,0.0080789,0.0069521,0.0063351
0.01763425027,0.017792,0.012943,0.012733,0.012212,0.012056,0.011578,0.011162,0.010421,0.0094052,0.0093925,0.0092912,0.0082232,0.0083083,0.007214,0.0066576
0.01772395887,0.017863,0.013097,0.01295,0.012394,0.01223,0.011755,0.011386,0.01058,0.0094995,0.0095081,0.0094834,0.0084856,0.0084943,0.0075433,0.0069273
0.01781366748,0.017906,0.013229,0.0131,0.012563,0.012412,0.011937,0.011627,0.010801,0.0095859,0.0095942,0.0096688,0.008732,0.0086911,0.0078061,0.0071207
0.01790016707,0.017917,0.013383,0.013277,0.012738,0.012526,0.012129,0.01187,0.011024,0.0097945,0.0096465,0.0098453,0.0089967,0.0088956,0.0079862,0.0073995
0.01798666667,0.017959,0.013544,0.013511,0.012908,0.012681,0.012325,0.012099,0.011231,0.0099235,0.0098265,0.0099114,0.0092876,0.0091157,0.0082863,0.0075731
0.018060361,0.017959,0.013721,0.013675,0.013086,0.012834,0.012505,0.012281,0.011426,0.010093,0.010017,0.0099987,0.0095641,0.0093025,0.0085172,0.0077447
0.01813405533,0.017998,0.013899,0.01384,0.013292,0.012979,0.012672,0.012471,0.011679,0.010298,0.010188,0.010127,0.0097776,0.0094778,0.0086432,0.0079213
0.01820133166,0.018023,0.014037,0.014026,0.013419,0.01313,0.012771,0.012609,0.011818,0.01054,0.010402,0.010314,0.01003,0.0096732,0.0087933,0.008128
0.01826860798,0.018068,0.014204,0.014149,0.013615,0.01332,0.012892,0.012725,0.011969,0.010777,0.010692,0.010387,0.010265,0.0098918,0.0089598,0.0083012
0.01832307904,0.018149,0.014366,0.014289,0.013749,0.013499,0.013036,0.012885,0.012147,0.011084,0.010876,0.010621,0.010495,0.010038,0.0090561,0.008454
0.01837755011,0.018214,0.014512,0.014445,0.013851,0.013645,0.013206,0.013044,0.012343,0.011315,0.011144,0.010813,0.010708,0.010217,0.0092081,0.0086678
0.01842560316,0.018322,0.014644,0.01458,0.014047,0.013803,0.013344,0.013148,0.012426,0.011523,0.011461,0.011065,0.010891,0.010393,0.0093639,0.0088757
0.01847365621,0.018366,0.014797,0.014735,0.014173,0.013982,0.013538,0.013238,0.012578,0.011718,0.011707,0.011238,0.011076,0.010604,0.0094883,0.0090161
0.01851210276,0.018471,0.014925,0.014896,0.014322,0.014161,0.013678,0.013382,0.012726,0.011891,0.011855,0.011495,0.011255,0.010809,0.0096244,0.0092392
0.0185505493,0.018555,0.015063,0.015061,0.014508,0.014368,0.013855,0.013554,0.012814,0.012077,0.012062,0.011757,0.011382,0.010957,0.0098407,0.0094625
0.01858419771,0.018621,0.015194,0.01518,0.014667,0.014528,0.014023,0.013692,0.012913,0.012239,0.012316,0.0119,0.01154,0.011131,0.010046,0.0097056
0.01861784613,0.018662,0.015325,0.015328,0.014817,0.014713,0.014232,0.013907,0.013099,0.012386,0.012378,0.012033,0.011593,0.01136,0.010228,0.0099479
0.01864667591,0.018673,0.015457,0.015485,0.014964,0.014886,0.014472,0.014105,0.01329,0.012507,0.012504,0.012225,0.011691,0.011505,0.010505,0.01016
0.01867550569,0.018687,0.015599,0.015605,0.015132,0.015033,0.014689,0.0143,0.013504,0.012597,0.012661,0.012448,0.011853,0.011667,0.010773,0.01041
0.01870113672,0.018722,0.015736,0.015721,0.015293,0.015134,0.014908,0.014514,0.013726,0.012697,0.012759,0.012503,0.011931,0.011826,0.010983,0.010597
0.01872676775,0.01875,0.015855,0.015797,0.015421,0.01526,0.015107,0.014716,0.013945,0.012894,0.012912,0.012653,0.012024,0.011975,0.01119,0.010807
0.01874759039,0.018773,0.016008,0.015894,0.015579,0.015405,0.015279,0.014911,0.014139,0.013048,0.013131,0.012799,0.012149,0.012131,0.011418,0.010948
0.01876841304,0.018793,0.016139,0.015967,0.015752,0.015506,0.015413,0.015048,0.014392,0.013253,0.013287,0.012899,0.012276,0.012254,0.011583,0.011134
0.01878924594,0.01883,0.016265,0.016047,0.015888,0.015616,0.01554,0.015223,0.014646,0.013458,0.013482,0.013048,0.01248,0.012402,0.011746,0.01129
0.01881007884,0.018865,0.016379,0.016158,0.016011,0.015746,0.015703,0.015411,0.014805,0.013669,0.013725,0.013265,0.012713,0.012559,0.011927,0.011421
